"","","title","address","access","age","floor","fee","manegement_fee","deposit","gratuity","madori","menseki","link","image","date"
"0","0","Ｍ新宿","東京都新宿区西新宿４","
京王新線/初台駅 歩7分
都営大江戸線/西新宿五丁目駅 歩7分
都営大江戸線/都庁前駅 歩16分
","
築11年
4階建
","
											2階","12.8万円","10000円","12.8万円","12.8万円","1LDK","48.29m2","https://suumo.jp//chintai/jnc_000075953633/?bc=100292018963","https://img01.suumo.com/front/gazo/fr/bukken/963/100292018963/100292018963_co.jpg",""
"1","1","カルデア","東京都渋谷区本町６","
京王新線/初台駅 歩9分
京王新線/幡ヶ谷駅 歩11分
都営大江戸線/西新宿五丁目駅 歩14分
","
築6年
3階建
","
											1階","12.9万円","3000円","12.9万円","12.9万円","1LDK","40.99m2","https://suumo.jp//chintai/jnc_000066542563/?bc=100297562977","https://img01.suumo.com/front/gazo/fr/bukken/977/100297562977/100297562977_co.jpg",""
"2","2","京王新線 初台駅 3階建 築36年","東京都渋谷区初台１","
京王新線/初台駅 歩5分
京王新線/幡ヶ谷駅 歩9分
小田急線/参宮橋駅 歩13分
","
築36年
3階建
","
											2階","13万円","-","13万円","-","1LDK","44.72m2","https://suumo.jp//chintai/jnc_000077353463/?bc=100300067121","https://img01.suumo.com/front/gazo/fr/bukken/121/100300067121/100300067121_co.jpg",""
"3","3","京王新線 初台駅 6階建 築31年","東京都渋谷区西原１","
京王新線/初台駅 歩8分
東京メトロ千代田線/代々木公園駅 歩12分
小田急線/代々木上原駅 歩12分
","
築31年
6階建
","
											3階","13.5万円","-","13.5万円","13.5万円","2LDK","46.17m2","https://suumo.jp//chintai/jnc_000032202018/?bc=100298456950","https://img01.suumo.com/front/gazo/fr/bukken/950/100298456950/100298456950_co.jpg",""
"4","4","初台パークサイドハイツ","東京都渋谷区初台１","
京王新線/初台駅 歩2分
小田急線/参宮橋駅 歩9分
都営大江戸線/西新宿五丁目駅 歩13分
","
築41年
14階建
","
											7階","12.5万円","8000円","12.5万円","12.5万円","2LDK","47.48m2","https://suumo.jp//chintai/jnc_000061136364/?bc=100294205868","https://img01.suumo.com/front/gazo/fr/bukken/868/100294205868/100294205868_co.jpg",""
"5","5","初台パークサイドハイツ","東京都渋谷区初台１","
京王新線/初台駅 歩2分
小田急線/参宮橋駅 歩9分
都営大江戸線/西新宿五丁目駅 歩13分
","
築41年
14階建
","
											4階","13.5万円","5000円","13.5万円","13.5万円","1LDK","42m2","https://suumo.jp//chintai/jnc_000042090362/?bc=100076263558","https://img01.suumo.com/front/gazo/fr/bukken/558/100076263558/100076263558_co.jpg",""
"6","6","京王新線 初台駅 4階建 築45年","東京都渋谷区初台１","
京王新線/初台駅 歩1分
小田急線/参宮橋駅 歩10分
東京メトロ千代田線/代々木公園駅 歩12分
","
築45年
4階建
","
											4階","13.8万円","-","13.8万円","13.8万円","2LDK","43.96m2","https://suumo.jp//chintai/jnc_000075212556/?bc=100290525286","https://img01.suumo.com/front/gazo/fr/bukken/286/100290525286/100290525286_co.jpg",""
"7","7","京王新線 初台駅 2階建 築6年","東京都渋谷区本町６","
京王新線/初台駅 歩9分
京王新線/幡ヶ谷駅 歩11分
京王線/笹塚駅 歩24分
","
築6年
2階建
","
											1階","12.9万円","3000円","12.9万円","12.9万円","1LDK","40.99m2","https://suumo.jp//chintai/jnc_000067608694/?bc=100297386900","https://img01.suumo.com/front/gazo/fr/bukken/900/100297386900/100297386900_co.jpg",""
"8","8","初台三十一番館","東京都渋谷区初台１","
京王新線/初台駅 歩5分
京王新線/幡ヶ谷駅 歩8分
小田急線/参宮橋駅 歩15分
","
築36年
3階建
","
											2階","13万円","-","13万円","-","1LDK","44.72m2","https://suumo.jp//chintai/jnc_000075910746/?bc=100288034245","https://img01.suumo.com/front/gazo/fr/bukken/245/100288034245/100288034245_co.jpg",""
"9","9","北村ハイツ","東京都新宿区西新宿３","
京王新線/初台駅 歩7分
小田急線/参宮橋駅 歩9分
都営大江戸線/都庁前駅 歩10分
","
築42年
10階建
","
											6階","11.5万円","8000円","11.5万円","-","1LDK","42.9m2","https://suumo.jp//chintai/jnc_000059715547/?bc=100205666135","https://img01.suumo.com/front/gazo/fr/bukken/135/100205666135/100205666135_co.jpg",""
"10","10","ラフィネ参宮橋レジデンス　（旧代々木シャトー","東京都渋谷区代々木４",",,,,,,,,,,,,,,,q
小田急線/参宮橋駅 歩6分
京王新線/初台駅 歩7分
都営大江戸線/都庁前駅 歩18分
","
築54年
5階建
","
											4階","13.4万円","5000円","13.4万円","13.4万円","1LDK","40.3m2","https://suumo.jp//chintai/jnc_000073481292/?bc=100297828165","https://img01.suumo.com/front/gazo/fr/bukken/165/100297828165/100297828165_co.jpg",""
